Gender,Age,Annual Income ($),Spending Score (1-100),Work Experience,Family Size,Profession
Male,19,15000,39,1,4,Healthcare
Male,21,35000,81,3,3,Engineer
Female,20,86000,6,1,1,Engineer
Female,23,59000,77,0,2,Lawyer
Female,31,38000,40,2,6,Entertainment
Female,22,58000,76,0,2,Artist
Female,35,31000,6,1,3,Healthcare
Female,23,84000,94,1,3,Healthcare
Male,64,97000,3,0,3,Engineer
Female,30,98000,72,1,4,Artist
Male,67,7000,14,1,3,Engineer
Female,35,93000,99,4,4,Healthcare
Female,58,80000,15,0,5,Executive
Female,24,91000,77,1,1,Lawyer
Male,37,19000,13,0,1,Doctor
Male,22,51000,79,1,2,Healthcare
Female,35,29000,35,9,5,Homemaker
Male,20,89000,66,1,6,Healthcare
Male,52,20000,29,1,4,Entertainment
Female,35,62000,98,0,1,Artist
Male,35,96000,35,12,1,Homemaker
Male,25,4000,73,3,4,Healthcare
Female,46,42000,5,13,2,Artist
Male,31,71000,73,5,2,Artist
Female,54,67000,14,1,3,Executive
Male,29,52000,82,1,3,Artist
Female,45,68000,32,9,8,Healthcare
Male,35,78000,61,1,3,Artist
Female,40,18000,31,0,1,Artist
Female,23,20000,87,5,4,Artist
Male,60,39000,4,0,3,Artist
Female,21,34000,73,1,2,Doctor
Male,53,59000,4,1,3,Healthcare
Male,18,62000,92,9,7,Homemaker
Female,49,91000,14,1,2,Lawyer
Female,21,95000,81,3,4,Healthcare
Female,42,14000,17,5,1,Doctor
Female,30,62000,73,1,5,Healthcare
Female,36,9000,26,8,2,Artist
Female,20,69000,75,8,2,Artist
Female,65,25000,35,4,1,Artist
Male,24,85000,92,0,2,Healthcare
Male,48,22000,36,14,3,Artist
Female,31,33000,61,1,2,Artist
Female,49,72000,28,8,1,Engineer
Female,24,3000,65,4,2,Lawyer
Female,50,52000,55,0,4,Artist
Female,27,71000,47,12,1,Healthcare
Female,29,78000,42,0,4,Healthcare
Female,31,25000,42,1,1,Engineer
Female,49,88000,52,1,2,Artist
Male,33,97000,60,1,2,Artist
Female,31,74000,54,1,1,Artist
Male,59,68000,60,0,2,Entertainment
Female,50,18000,45,1,1,Marketing
Male,47,95000,41,14,2,Artist
Female,51,71000,50,9,4,Healthcare
Male,69,8000,46,8,2,Doctor
Female,27,57000,51,1,3,Artist
Male,53,89000,46,1,6,Lawyer
Male,70,84000,56,0,2,Artist
Male,19,50000,55,9,2,Artist
Female,67,50000,52,0,3,Lawyer
Female,54,48000,59,1,2,Lawyer
Male,63,63000,51,7,2,Lawyer
Male,18,9000,59,0,2,Entertainment
Female,43,3000,50,0,2,Doctor
Female,68,82000,48,8,4,Artist
Male,19,81000,59,0,4,Artist
Female,32,97000,47,2,2,Homemaker
Male,70,91000,55,8,2,Healthcare
Female,47,9000,42,8,2,Entertainment
Female,60,44000,49,0,5,Artist
Female,60,10000,56,8,4,Healthcare
Male,59,89000,47,0,4,Artist
Male,26,49000,54,0,3,Homemaker
Female,45,67000,53,0,2,Doctor
Male,40,99000,48,4,3,Artist
Female,23,97000,52,2,2,Engineer
Female,49,98000,42,1,1,
Male,57,52000,51,0,4,Healthcare
Male,38,61000,55,6,3,Healthcare
Male,67,120000,41,8,1,Artist
Female,46,34000,44,8,4,Entertainment
Female,21,24000,57,1,3,Marketing
Male,48,31000,46,7,5,Healthcare
Female,55,11000,58,0,3,Artist
Female,22,55000,55,5,2,Artist
Female,34,76000,60,7,3,Entertainment
Female,50,56000,46,0,2,Doctor
Female,68,46000,55,0,3,Entertainment
Male,18,36000,41,1,4,Artist
Male,48,88000,49,1,2,Artist
Female,40,31000,40,1,2,Entertainment
Female,32,24000,42,0,1,Artist
Male,24,80000,52,10,1,Artist
Female,47,2000,47,0,1,Artist
Female,27,67000,50,0,2,Artist
Male,48,58000,42,1,2,Doctor
Male,20,80000,49,3,3,Engineer
Female,23,65000,41,0,4,Artist
Female,49,4000,48,1,7,Executive
Male,67,98000,59,0,3,Artist
Male,26,52000,55,0,5,Executive
Male,49,86000,56,10,2,Healthcare
Female,21,82000,42,1,2,Doctor
Female,66,43000,50,3,2,Homemaker
Male,54,78000,46,1,1,Lawyer
Male,68,13000,43,6,5,Healthcare
Male,66,13000,48,9,3,Healthcare
Male,65,34000,52,4,4,Entertainment
Female,19,25000,54,0,1,Artist
Female,38,71000,42,1,5,Doctor
Male,19,2000,46,1,1,Artist
Female,18,97000,48,0,3,Executive
Female,19,51000,50,8,4,Executive
Female,63,9000,43,1,1,Lawyer
Female,49,79000,59,0,2,Artist
Female,51,84000,43,2,7,
Female,50,87000,57,1,2,Artist
Male,27,36000,56,0,3,Executive
Female,38,50000,40,1,4,Executive
Female,40,97000,58,9,4,Engineer
Male,39,6000,91,1,3,Healthcare
Female,23,12000,29,9,2,Entertainment
Female,31,46000,77,1,2,Marketing
Male,43,89000,35,0,7,Engineer
Male,40,4000,95,0,2,Artist
Male,59,38000,11,0,2,Engineer
Male,38,64000,75,8,5,Entertainment
Male,47,66000,9,9,5,Executive
Male,39,26000,75,0,2,Lawyer
Female,25,41000,34,6,4,Healthcare
Female,31,45000,71,5,1,Artist
Male,20,89000,5,1,2,Engineer
Female,29,92000,88,5,5,Executive
Female,44,76000,7,5,2,Artist
Male,32,85000,73,3,4,Artist
Male,19,22000,10,8,4,Marketing
Female,35,15000,72,4,4,Artist
Female,57,32000,5,0,2,Engineer
Male,32,66000,93,0,5,Artist
Female,28,62000,40,5,3,Doctor
Female,32,85000,87,1,2,Lawyer
Male,25,71000,12,0,5,Engineer
Male,28,26000,97,8,5,Marketing
Male,48,52000,36,9,2,Engineer
Female,32,38000,74,1,1,Lawyer
Female,34,51000,22,7,4,Healthcare
Male,34,90000,90,6,3,Artist
Male,43,30000,17,0,9,Lawyer
Male,39,41000,88,0,1,Engineer
Female,44,17000,20,0,2,Engineer
Female,38,92000,76,2,2,Artist
Female,47,80000,16,0,4,Healthcare
Female,27,10000,89,8,4,Marketing
Male,37,16000,1,1,1,Executive
Female,30,87000,78,3,4,Artist
Male,34,66000,1,1,2,Lawyer
Female,30,86000,73,3,3,Artist
Female,56,9000,35,1,1,Artist
Female,29,50000,83,1,5,Healthcare
Male,19,35000,5,0,5,Executive
Female,31,58000,93,1,5,Healthcare
Male,50,47000,26,0,2,Doctor
Female,36,54000,75,5,3,Artist
Male,42,79000,20,9,3,Homemaker
Female,33,83000,95,0,5,Artist
Female,36,57000,27,0,3,Artist
Male,32,0,63,2,2,Artist
Male,40,69000,13,3,5,Artist
Male,28,4000,75,0,2,Executive
Male,36,79000,10,0,2,Lawyer
Male,36,99000,92,5,2,Artist
Female,52,20000,13,0,2,Lawyer
Female,30,28000,86,3,4,Artist
Male,58,29000,15,11,1,Engineer
Male,27,45000,69,2,6,Healthcare
Male,59,86000,14,4,3,Healthcare
Male,35,42000,90,8,1,Engineer
Female,37,59000,32,7,2,Artist
Female,32,61000,86,7,5,Entertainment
Male,46,11000,15,7,1,Artist
Female,29,66000,88,4,4,Artist
Female,41,39000,39,1,1,Artist
Male,30,72000,97,6,2,Artist
Female,54,14000,24,1,2,Lawyer
Male,28,44000,68,5,3,Doctor
Female,41,76000,17,8,2,Engineer
Female,36,95000,85,4,2,Artist
Female,34,92000,23,5,3,Artist
Female,32,98000,69,8,2,Artist
Male,33,96000,8,9,2,Executive
Female,38,45000,91,10,4,Artist
Female,47,8000,16,7,2,Artist
Female,35,46000,79,1,3,Executive
Female,45,78000,28,0,2,Artist
Male,32,4000,74,1,5,Artist
Male,32,81000,18,1,2,Executive
Male,30,33000,83,4,2,Artist
Female,21,40000,10,0,3,Healthcare
Male,34,85000,16,9,3,Healthcare
Female,16,60000,0,6,8,Engineer
Female,76,60000,39,4,2,Healthcare
Female,62,63000,59,0,2,Entertainment
Female,63,10000,52,8,3,Healthcare
Female,19,55000,61,0,3,Healthcare
Male,46,93000,12,2,1,Artist
Female,48,15000,7,0,2,Doctor
Female,80,39000,33,9,4,Engineer
Female,1,57000,93,1,2,Engineer
Female,0,22000,92,2,1,Artist
Male,86,12000,70,2,4,Marketing
Male,49,50000,82,8,1,Lawyer
Male,48,95000,68,2,4,Doctor
Female,46,66000,70,3,3,Healthcare
Male,79,20000,40,6,2,Doctor
Female,83,35000,99,8,2,Doctor
Female,66,71000,34,9,2,Executive
Female,59,76000,61,9,1,
Female,39,84000,33,5,3,Artist
Female,95,72000,51,4,2,Engineer
Male,43,33000,55,4,3,Artist
Female,93,93000,37,1,5,Healthcare
Female,40,83000,48,4,1,Homemaker
Female,78,23000,8,1,1,Engineer
Female,25,40000,77,5,4,Artist
Male,76,89000,86,9,4,Healthcare
Male,0,33000,64,1,1,Marketing
Male,15,94000,30,7,2,Healthcare
Female,6,93000,53,8,2,Lawyer
Male,84,7000,28,0,4,Healthcare
Female,67,18000,88,0,2,Lawyer
Female,78,3000,14,0,4,Healthcare
Female,4,84000,54,9,1,Artist
Female,29,62000,34,0,4,Healthcare
Male,91,9000,96,1,5,Healthcare
Male,95,36000,35,0,4,
Male,55,37000,74,1,4,Lawyer
Female,14,50000,11,1,2,Artist
Male,92,83000,16,1,5,Executive
Female,65,79000,17,0,3,Artist
Female,84,40000,14,1,4,Healthcare
Female,77,47000,58,0,6,Artist
Female,53,4000,20,0,4,Artist
Female,28,38000,75,7,2,Entertainment
Male,23,0,96,1,3,Doctor
Female,32,7000,16,1,2,Artist
Female,37,41000,2,1,2,Artist
Female,89,65000,0,0,5,Engineer
Male,80,20000,93,1,3,Engineer
Female,27,44000,65,8,1,Doctor
Female,78,3000,14,5,4,Artist
Female,86,72000,13,7,3,Lawyer
Female,46,27000,32,4,4,Engineer
Male,59,85000,49,4,2,Lawyer
Male,12,38000,18,10,1,Executive
Male,79,73000,96,6,7,Homemaker
Female,79,64000,64,2,3,Artist
Male,26,26000,60,6,4,Executive
Female,63,47000,16,2,3,Artist
Female,52,35000,85,2,6,Doctor
Female,32,31000,24,2,3,Lawyer
Female,64,13000,38,3,4,Engineer
Female,37,79000,10,1,7,Homemaker
Male,7,82000,39,2,2,Entertainment
Female,40,28000,68,1,1,Artist
Female,78,36000,79,0,3,Artist
Female,34,8000,76,6,6,Entertainment
Female,52,88000,39,1,2,Artist
Male,94,91000,36,0,4,Entertainment
Female,1,12000,82,0,3,Doctor
Female,96,1000,76,0,3,Entertainment
Female,18,143000,99,0,2,Artist
Female,37,18000,57,1,2,Artist
Male,78,65000,89,1,2,Lawyer
Male,16,9000,88,7,4,Executive
Male,93,95000,21,1,1,Artist
Female,74,78000,12,9,3,Engineer
Male,68,48000,73,3,3,Healthcare
Female,32,63000,87,1,4,Executive
Female,43,85000,63,1,2,Marketing
Female,52,43000,58,1,3,Artist
Female,63,74000,20,1,2,Artist
Female,33,67000,11,0,1,Healthcare
Male,86,59000,40,0,1,Artist
Female,85,140000,84,1,1,Entertainment
Female,73,31000,47,1,2,Healthcare
Female,21,5000,91,0,1,Marketing
Female,93,19000,58,1,3,Engineer
Male,9,27000,62,7,1,Entertainment
Female,10,68000,80,6,3,Doctor
Male,11,38000,66,8,8,Artist
Female,48,50000,36,6,4,Engineer
Female,73,80000,73,2,2,Entertainment
Female,66,69000,43,9,3,Executive
